,precision,recall,f1-score,support
positive,0.7932636469221835,0.8054245283018868,0.799297834991223,2544.0
neutral,0.035317860746720484,0.3431372549019608,0.06404391582799634,102.0
negative,0.9021207177814029,0.5134633240482822,0.6544378698224852,2154.0
accuracy,0.6645833333333333,0.6645833333333333,0.6645833333333333,0.6645833333333333
macro avg,0.576900741816769,0.5540083690840433,0.5059265402139016,4800.0
weighted avg,0.8260069095140297,0.6645833333333333,0.7186677798395333,4800.0
